session_id,customer_id,campaign_id,session_date,pages_viewed,converted
1,939,7,2024-12-07,6,1
2,659,14,2023-02-24,8,1
3,1109,5,2024-11-08,5,1
4,1357,19,2023-10-25,8,1
5,95,15,2023-02-15,3,1
6,772,7,2022-07-02,1,1
7,46,10,2023-06-11,9,1
8,1062,7,2023-05-02,7,0
9,331,15,2024-01-22,3,1
10,714,15,2024-05-15,5,0
11,497,10,2022-07-20,1,0
12,522,12,2022-06-28,1,0
13,915,13,2023-03-12,10,1
14,519,8,2022-05-07,3,1
15,1041,13,2022-02-01,5,0
16,673,1,2022-12-08,4,1
17,354,20,2024-01-04,8,1
18,20,4,2024-05-29,2,1
19,1189,2,2022-01-16,8,0
20,968,10,2022-01-02,5,0
21,318,18,2022-09-28,8,1
22,1135,12,2024-04-18,1,1
23,810,1,2022-07-16,1,0
24,1283,3,2022-06-25,8,1
25,555,9,2022-06-17,10,0
26,1272,2,2022-03-15,4,1
27,1497,8,2024-11-23,4,1
28,1461,19,2022-06-27,7,0
29,864,9,2023-02-13,1,1
30,954,20,2024-04-26,9,0
31,336,1,2023-06-18,10,1
32,1368,2,2022-03-04,3,1
33,454,15,2024-08-02,5,1
34,1433,2,2023-02-03,6,0
35,790,2,2023-04-12,10,1
36,1170,13,2024-10-15,8,0
37,985,11,2023-08-10,9,0
38,838,8,2022-04-24,10,0
39,646,14,2022-11-11,1,1
40,821,7,2024-12-28,9,1
41,749,18,2024-12-01,1,0
42,123,13,2022-03-20,3,1
43,677,15,2022-01-11,9,0
44,1312,15,2024-11-26,10,1
45,1366,3,2022-03-14,8,0
46,754,15,2024-06-29,5,0
47,1024,6,2024-06-05,1,1
48,1009,14,2022-05-25,10,0
49,28,12,2023-06-08,6,1
50,785,6,2024-12-04,6,1
51,214,16,2023-07-12,5,0
52,1396,3,2022-05-12,5,0
53,93,1,2022-07-08,9,1
54,517,7,2023-01-26,9,0
55,375,7,2022-07-19,2,1
56,793,20,2023-06-17,2,0
57,1466,7,2024-08-30,10,1
58,1048,3,2022-09-21,1,1
59,1059,16,2024-05-29,7,0
60,856,12,2023-05-09,7,1
61,1324,17,2024-02-10,7,1
62,1398,10,2022-03-21,9,0
63,1101,17,2023-03-25,9,0
